ID,FPS,"LoopType (0: Single, 1: Loop)		",,,
Idle,8,"1	",,,
"				",,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,"FLIPX (0:Fale, 1:True)"
graphics/Characters/Pico_Player1_Idle_Final.png,0,0,100,130,0
graphics/Characters/Pico_Player1_Idle_Final.png,100,0,100,130,0
graphics/Characters/Pico_Player1_Idle_Final.png,200,0,100,130,0
graphics/Characters/Pico_Player1_Idle_Final.png,300,0,100,130,0
graphics/Characters/Pico_Player1_Idle_Final.png,400,0,100,130,0
graphics/Characters/Pico_Player1_Idle_Final.png,500,0,100,130,0
graphics/Characters/Pico_Player1_Idle_Final.png,600,0,100,130,0
graphics/Characters/Pico_Player1_Idle_Final.png,700,0,100,130,0
